url,novel_titles,review_ratings,num_chapters,author,translator,genres
https://www.wuxiaworld.com/novel/killer-nights,Killer Nights,,154,A Lifetime-Wandering Cat(一生流浪的猫),daAznSensazn and gchan7127,Chinese; Romance; Mystery; Modern Setting
https://www.wuxiaworld.com/novel/sage-monarch,Sage Monarch,2.8; 2.8,1601,Divine Dreamwalker (梦入神机),Deathblade,Chinese; Fantasy; Sci-fi; Xuanhuan; Action; Political Intrigue
https://www.wuxiaworld.com/novel/talisman-emperor,Talisman Emperor,2.6; 2.6,2248,Xiao Jinyu (萧瑾瑜),InVader,Chinese; Fantasy; Mystery; Xuanhuan; Action; Crafting; Cooking
https://www.wuxiaworld.com/novel/divine-medallion-of-seven-lifetimes,Divine Medallion of Seven Lifetimes,3; 3,262,Half-step Imperial City（半部皇城）,Aaron,Chinese; Mystery; Cultivation; Xianxia; Xuanhuan; Action; Superpowers; Pets
https://www.wuxiaworld.com/novel/rebirth-8th-circle-mage,Rebirth of the 8th-Circle Mage,2.5; 2.5,401,zary,Deborah,Korean; Fantasy
https://www.wuxiaworld.com/novel/art-of-chaotic-divinity,The Art of Chaotic Divinity,3; 3,1332,Jian Qingyang(剑轻阳),Boundless Sword Steps,Chinese; Cultivation; Xuanhuan; Wuxia; Alchemy
https://www.wuxiaworld.com/novel/tales-of-demons-and-gods,Tales of Demons & Gods,3.3; 3.3,507,Mad Snail (发飙的蜗牛),Thyaeria,Chinese; Fantasy; Xuanhuan; Action
https://www.wuxiaworld.com/novel/the-sword-emperor-transmigrates,The Sword Emperor Transmigrates,3.6; 3.6,301,McEnroe,Castor & Nekogami,Korean; Fantasy; Cultivation; Action; Superpowers
https://www.wuxiaworld.com/novel/dao-of-the-bizarre-immortal,Dao of the Bizarre Immortal,4.3; 4.3,1024,Foxtail Quill(狐尾的笔),Chacha and Char,Chinese; Cultivation; Superpowers; Mature
https://www.wuxiaworld.com/novel/i-became-the-martial-god-youngest-disciple,I Became the Martial God's Youngest Disciple,4; 4,119,Nakhasan,rainbowturtle,Korean; Action
https://www.wuxiaworld.com/novel/starforce-warriors,Starforce Warriors,,1032,Warring Blades (乱世狂刀),Dorlaken,Chinese; Cultivation; Modern Setting
https://www.wuxiaworld.com/novel/my-civil-servant-life,My Civil Servant Life Reborn in the Strange World,3.3; 3.3,474,il.k (일계),Sangwoo,Korean; Fantasy; Comedy; Action
